Study_ID,Study,DOI,Year,Dimensao,Dimensao_Label,Proxy,n_T,m_T,sd_T,n_C,m_C,sd_C,Tipo_Intervencao,Regiao,Tipo_Comunidade,NOS,Tier,lnRR,vi,sigma_conv
18,Nord A.,10.1002/ldr.3582,2020,V1,Erosão Intergeracional e Migração,SOC (%) by farmer erosion perception,22,1.59,0.81,31,1.42,0.73,Farmer perception survey,Europa,Agricultores,,T1,0.11307714461897085,0.02032175247438712,0.0
18,Nord A.,10.1002/ldr.3582,2020,V2,Complexidade e Singularidade Biocultural,Slope assessment accuracy (farmer vs measured),22,1.11,0.61,45,1.12,0.49,Farmer perception survey,Europa,Agricultores,,T1,-0.008968669982760375,0.01798095892268189,0.0
20,Sibanda M.,10.1186/s40066-025-00573-w,2025,V2,Complexidade e Singularidade Biocultural,Ethnobotanical knowledge score (gender),100,38.96,10.67,100,34.85,11.65,Seed system assessment,Africa,Indigena,,T1,0.11148234156780144,0.0018675480496522304,0.0
20,Sibanda M.,10.1186/s40066-025-00573-w,2025,V2,Complexidade e Singularidade Biocultural,Ethnobotanical knowledge score (age),100,41.38,10.73,100,32.43,10.14,Seed system assessment,Africa,Indigena,,T1,0.24371375199817052,0.0016500325708482429,0.0
20,Sibanda M.,10.1186/s40066-025-00573-w,2025,V3,Status de Documentação,Ethnobotanical knowledge score (occupation),58,37.64,11.44,52,32.98,11.62,Seed system assessment,Africa,Indigena,,T1,0.1321659975857262,0.0039799697919555245,0.0
20,Sibanda M.,10.1186/s40066-025-00573-w,2025,V4,Vulnerabilidade Jurídica e Fundiária,Ethnobotanical knowledge score (education),123,39.94,10.59,8,21,5.24,Seed system assessment,Africa,Indigena,,T1,0.642855890264246,0.008354338100562337,0.0
20,Sibanda M.,10.1186/s40066-025-00573-w,2025,V5,Organização Social e Governança,Ethnobotanical knowledge score (family type),42,39.81,11.21,158,36.13,11.28,Seed system assessment,Africa,Indigena,,T1,0.09699459185267693,0.002504808684334349,0.0
31,"Frascaroli, F; Bhagwat, S; Guarino, R; Chiarucci,",10.1007/s13280-015-0738-5,2016,V1,Erosão Intergeracional e Migração,Land-cover diversity (Shannon H') at SNS vs reference,30,0.74,0.274,30,0.45,0.3288,Sacred grove conservation,Europa,Rural,,T1,0.49740260343384995,0.02236579502745989,0.0
31,"Frascaroli, F; Bhagwat, S; Guarino, R; Chiarucci,",10.1007/s13280-015-0738-5,2016,V2,Complexidade e Singularidade Biocultural,Landscape heterogeneity (Shannon) at SNS vs reference,30,0.78,0.4384,30,0.86,0.4932,Sacred grove conservation,Europa,Rural,,T1,-0.09763846956391593,0.02149301855271319,0.0
31,"Frascaroli, F; Bhagwat, S; Guarino, R; Chiarucci,",10.1007/s13280-015-0738-5,2016,V4,Vulnerabilidade Jurídica e Fundiária,Large tree frequency at SNS vs reference,30,78,98.64,30,28,43.84,Sacred grove conservation,Europa,Rural,,T1,1.0245043165143877,0.13502377651652378,0.0
31,"Frascaroli, F; Bhagwat, S; Guarino, R; Chiarucci,",10.1007/s13280-015-0738-5,2016,V5,Organização Social e Governança,Anthropogenic area proportion (%) at SNS vs reference,30,10.2,10.96,30,2.3,3.836,Sacred grove conservation,Europa,Rural,,T1,1.4894785973551214,0.13120717250187572,0.0
45,"Ghanimi, R.; Ouhammou, A.; Babahmad, R.A.",10.4314/ejhs.v32i6.22,2022,V2,Complexidade e Singularidade Biocultural,Intergenerational knowledge transfer indicator,100,41.38,10.73,100,32.43,10.14,Ethnobotanical survey,America do Sul,Pastoralistas,,T1,0.24371375199817052,0.0016500325708482429,0.0
47,"Rodríguez-Cruz, L.A.; Álvarez-Berríos, N.; Niles, M.T.",10.1088/1748-9326/ac6004,2022,V1,Erosão Intergeracional e Migração,"Farm size (cuerdas, food security)",124,75.6,118.5,154,45.1,81.6,Post-disaster food security,Caribe,Agricultores,,T1,0.5165740366768545,0.04107118874115673,0.0
47,"Rodríguez-Cruz, L.A.; Álvarez-Berríos, N.; Niles, M.T.",10.1088/1748-9326/ac6004,2022,V2,Complexidade e Singularidade Biocultural,Farmer age (food security),124,52.5,13.5,154,56.4,13,Post-disaster food security,Caribe,Agricultores,,T1,-0.07165598890643517,0.0008782365644740555,0.0
47,"Rodríguez-Cruz, L.A.; Álvarez-Berríos, N.; Niles, M.T.",10.1088/1748-9326/ac6004,2022,V2,Complexidade e Singularidade Biocultural,Social network count (food security status),124,2.6,2.2,154,2.1,2.1,Post-disaster food security,Caribe,Agricultores,,T1,0.2135741002980591,0.012267509165772194,0.0
47,"Rodríguez-Cruz, L.A.; Álvarez-Berríos, N.; Niles, M.T.",10.1088/1748-9326/ac6004,2022,V3,Status de Documentação,Farm production count (food security status),124,3.4,2.5,154,3.3,2.7,Post-disaster food security,Caribe,Agricultores,,T1,0.02985296314968113,0.00870703341734135,0.0
47,"Rodríguez-Cruz, L.A.; Álvarez-Berríos, N.; Niles, M.T.",10.1088/1748-9326/ac6004,2022,V4,Vulnerabilidade Jurídica e Fundiária,Landslide exposure (km²),124,9.1,11.6,154,12.2,16.4,Post-disaster food security,Caribe,Agricultores,,T1,-0.29316153821640645,0.024838263282206143,0.0
47,"Rodríguez-Cruz, L.A.; Álvarez-Berríos, N.; Niles, M.T.",10.1088/1748-9326/ac6004,2022,V5,Organização Social e Governança,Distance from hurricane eye (km),124,25.3,15.1,154,18.9,12.3,Post-disaster food security,Caribe,Agricultores,,T1,0.291642473667878,0.005622916137967832,0.0
2,Calvet-Mir L.,10.1080/08941920.2015.1094711,2016,V1,Erosão Intergeracional e Migração,Agrobiodiversity index / species richness,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
2,Calvet-Mir L.,10.1080/08941920.2015.1094711,2016,V2,Complexidade e Singularidade Biocultural,Traditional knowledge score,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
2,Calvet-Mir L.,10.1080/08941920.2015.1094711,2016,V2,Complexidade e Singularidade Biocultural,Cultural complexity / social network indicator,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
2,Calvet-Mir L.,10.1080/08941920.2015.1094711,2016,V3,Status de Documentação,Food security / dietary diversity indicator,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
2,Calvet-Mir L.,10.1080/08941920.2015.1094711,2016,V4,Vulnerabilidade Jurídica e Fundiária,Documentation status / knowledge formalization,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
2,Calvet-Mir L.,10.1080/08941920.2015.1094711,2016,V5,Organização Social e Governança,External pressure / land use change indicator,30,,,30,,,,,,,T4,0.0,6.168503,0.5
3,Bastos J.G.,10.3389/ffgc.2022.696757,2022,V1,Erosão Intergeracional e Migração,Agrobiodiversidade,30,,,30,,,,,,,T3,0.182322,0.691658,0.35
3,Bastos J.G.,10.3389/ffgc.2022.696757,2022,V2,Complexidade e Singularidade Biocultural,Transmissao Intergeracional,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
3,Bastos J.G.,10.3389/ffgc.2022.696757,2022,V2,Complexidade e Singularidade Biocultural,Complexidade Cultural,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
3,Bastos J.G.,10.3389/ffgc.2022.696757,2022,V3,Status de Documentação,Seguranca Alimentar,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
3,Bastos J.G.,10.3389/ffgc.2022.696757,2022,V4,Vulnerabilidade Jurídica e Fundiária,Status de Documentacao,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
3,Bastos J.G.,10.3389/ffgc.2022.696757,2022,V5,Organização Social e Governança,Governanca/Resiliencia,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
4,Romero-Silva M.J.,10.1186/s40529-025-00488-6,2026,V1,Erosão Intergeracional e Migração,Agrobiodiversidade,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
4,Romero-Silva M.J.,10.1186/s40529-025-00488-6,2026,V2,Complexidade e Singularidade Biocultural,Transmissao Intergeracional,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
4,Romero-Silva M.J.,10.1186/s40529-025-00488-6,2026,V2,Complexidade e Singularidade Biocultural,Complexidade Cultural,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
4,Romero-Silva M.J.,10.1186/s40529-025-00488-6,2026,V3,Status de Documentação,Seguranca Alimentar,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
4,Romero-Silva M.J.,10.1186/s40529-025-00488-6,2026,V4,Vulnerabilidade Jurídica e Fundiária,Status de Documentacao,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
4,Romero-Silva M.J.,10.1186/s40529-025-00488-6,2026,V5,Organização Social e Governança,Governanca/Resiliencia,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
5,de Sousa T.B.,10.18472/SustDeb.v15n3.2024.55679,2024,V1,Erosão Intergeracional e Migração,Agrobiodiversidade,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
5,de Sousa T.B.,10.18472/SustDeb.v15n3.2024.55679,2024,V2,Complexidade e Singularidade Biocultural,Transmissao Intergeracional,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
5,de Sousa T.B.,10.18472/SustDeb.v15n3.2024.55679,2024,V2,Complexidade e Singularidade Biocultural,Complexidade Cultural,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
5,de Sousa T.B.,10.18472/SustDeb.v15n3.2024.55679,2024,V3,Status de Documentação,Seguranca Alimentar,30,,,30,,,,,,,T3,0.182322,0.691658,0.35
